stars,reasons,count
1,slow working,1
1,poor customer support,0
1,low quality products,1
1,fast working,0
1,good customer support,1
1,high quality products,0
1,nothing,1
1,other,0
2,slow working,1
2,poor customer support,0
2,low quality products,2
2,fast working,0
2,good customer support,2
2,high quality products,0
2,nothing,1
2,other,0
3,slow working,1
3,poor customer support,3
3,low quality products,0
3,fast working,2
3,good customer support,0
3,high quality products,1
3,nothing,1
3,other,0
4,slow working,4
4,poor customer support,0
4,low quality products,1
4,fast working,1
4,good customer support,1
4,high quality products,3
4,nothing,1
4,other,1
5,slow working,0
5,poor customer support,1
5,low quality products,1
5,fast working,3
5,good customer support,1
5,high quality products,0
5,nothing,0
5,other,2
6,slow working,2
6,poor customer support,0
6,low quality products,0
6,fast working,1
6,good customer support,2
6,high quality products,0
6,nothing,1
6,other,2
7,slow working,2
7,poor customer support,1
7,low quality products,1
7,fast working,1
7,good customer support,1
7,high quality products,0
7,nothing,3
7,other,1
8,slow working,1
8,poor customer support,0
8,low quality products,1
8,fast working,1
8,good customer support,2
8,high quality products,1
8,nothing,1
8,other,3
9,slow working,0
9,poor customer support,0
9,low quality products,0
9,fast working,0
9,good customer support,1
9,high quality products,1
9,nothing,1
9,other,3
10,slow working,0
10,poor customer support,0
10,low quality products,0
10,fast working,1
10,good customer support,1
10,high quality products,4
10,nothing,0
10,other,6
